DateValid;DISCIPLINE;ASSO_NOM;DECLARATION EN PREFECTURE;AGREMENT JEUNESSE & SPORTS;AFFILIATION FEDERALE;COMPLEMENT;EXTENSION;PERS_INTERNET;QUARTIERS;COMPLEXE;UNITE FONCTIONNELLE;NUMERO;RUE_LIBELLE;UF_CP;UF_Commune;0-3ans;3-6ans;6-12ans;12-15ans;juniors16-20ans;adultes;séniors;handicapés;corpo;geolocalisation
25/07/2007 15:02:56;BOWLING;ASSOCIATION SPORTIVE AIR FRANCE;W311001621;31AS479;31063.0;;;www.asaf.sport.asso.fr;Montaudran Lespinet;COMPLEXE PRIVÉ;Bowling de Montaudran;;Impasse Louise Labe;;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.56808, 1.496579
19/09/2007 15:19:45;BOWLING;TCMS OMNISPORT - TOULOUSE CHEMINOT MARENGO SPORTS;;;;;;;Minimes;COMPLEXE PRIVÉ;Bowling des Minimes;;Avenue des Minimes;31200.0;Toulouse;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.58071, 1.4195
21/11/2008 17:00:20;BOWLING;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;776945800.0;Bat B;;bowling.toac.free.fr;Gramont;COMPLEXE PRIVÉ;Bowling de Gramont;;Chemin de Gabardie;31500.0;Toulouse;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.621471, 1.340877
21/01/2011 10:31:00;CANOE-KAYAK;CANOE KAYAK TOULOUSAIN;;;3102.0;;Chemin de la Loge;ckt.free.fr;;Rivières et fleuves;Ariège et Garonne;;;;En Ariège et Garonne;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
03/10/2007 09:41:40;CANOE-KAYAK;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.604268, 1.441019
25/03/2009 09:02:00;COURSE D'ORIENTATION;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;;;;toaco.free.fr;;COMPLEXE PRIVÉ;Forêts de Bouconne et de Buzet;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
13/02/2009 16:20:16;CYCLISME SUR ROUTE;RACING CLUB OLYMPIQUE;2578.0;;;;;;;;;;;;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
24/03/2009 17:12:59;CYCLOTOURISME;TOAC section CYCLISME;;;2231105.0;;;toac.cyclisme.free.fr/;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.693459, 1.268659
31/03/2009 10:56:00;VTT;CLUB ALPIN FRANCAIS DE TOULOUSE;;;3100.0;;;caftoulouse.free.fr;;Extérieurs de Toulouse;Région Midi-Pyrénées;;;;En région Midi-Pyrénées;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.604268, 1.441019
24/03/2009 16:27:12;DAMES;CLUB DAMIER TOULOUSAIN;303045.0;3104JEP0047;;;;damier31.free.fr/;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.813047, 1.570805
24/03/2009 16:23:04;échecs;CERCLE AIRBUS TOULOUSE ECHECS;W313008719;;;BP83172;;cateairbus.free.fr;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;
23/02/2011 17:16:21;échecs;CLUB D'ECHECS INTERNATIONAL DE TOULOUSE;3/21892;31AS1228;;;;ceit.free.fr;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
21/01/2011 09:50:04;gymnastique volontaire;ASSOCIATION GYMNASTIQUE DES MAZADES;4957.0;;31198.0;Centre cuturel des Mazades;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
12/01/2009 11:45:19;gymnastique volontaire;GYM SAINT MARTIN;37500.0;;31309.0;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
14/02/2011 16:25:20;gymnastique volontaire;JOLIMONT - gymnastique volontaire;W313007407;;31200.0;chez Mme Maryse MAGNE;Bât F1 Appt 18;;Marengo Jolimont;ENSEMBLE DES ACACIAS;GYMNASE DES ACACIAS;20;Rue de l' Obélisque;31500.0;TOULOUSE;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.601438, 1.453807
09/02/2011 17:15:21;gymnastique volontaire;TOULOUSE GYMNASTIQUE VOLONTAIRE;3/32163;31AS1302;;;;;Arnaud Bernard;LYCEE ST SERNIN MAISON MUTILE;GYMNASE SAINT SERNIN;1;Place Saint Sernin;31000.0;TOULOUSE;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.609286, 1.458299
02/08/2007 10:06:19;équitation;PONEY CLUB DE LA SEILLONNE;;;;;;;;COMPLEXE PRIVÉ;Poney Club de la Seillonne;;;31130.0;Pin Balma;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;43.609568, 1.497847
09/02/2011 16:42:19;CHASSE SOUS-MARINE;GASM - Groupe d'Activités Sous Marines;3/08064;31AS1011;8310049.0;;;gasm-toulouse.chez-alice.fr;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.561769, 1.31404
16/01/2013 15:40:39;nage avec palmes;TOULOUSE OLYMPIQUE PALME;;;;;;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.852747, 1.235629
06/09/2011 17:06:56;plongée;AMPHIPRION PLONGEE;W313005015;03109ET0018;8310270.0;;;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.593607, 1.462219
09/02/2011 14:20:27;plongée;ASCUPS;W313013309;;8310306.0;;;;;;;;;;;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;
07/10/2011 17:18:56;plongée;ASPTT section PLONGEE;;;;;;www.toulouse.asptt.com;;;;;;;;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.604268, 1.441019
04/10/2011 17:36:45;plongée;PALMES AQUADEMIQUES;w313004030;3199.0;179.0;;;palmes.aquademiques.free.fr;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.593607, 1.462219
02/10/2012 10:18:18;plongée;TCMS section PLONGEE;5105.0;16076.0;8310106.0;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;43.698157, 1.225098
13/05/2011 16:24:05;frisbee;TUC Section ULTIMATE;;;;;Stade Daniel Faucher;www.toulouseultimate.free.fr;Ramier;Stade Universitaire Daniel Faucher;Stade Universitaire Daniel Faucher;;Allée du Professeur Camille Soula;31400.0;Toulouse;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;43.580038, 1.435198
03/08/2009 17:02:15;FOOTBALL;A S FARMENTIERES;;;;;;club.sportsrégions.fr/asfa-toulouse;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.604268, 1.441019
18/01/2011 14:13:59;FOOTBALL;ASSOCIATION SPORTIVE DES IZARDS;;;;;;;Les Izards;TERRAIN DE SPORT DES VIOLETTES;TERRAIN DE SPORT DES VIOLETTES;6;Rue des Violettes;31200.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.641739, 1.44387
27/01/2012 11:53:25;FOOTBALL;ASSOCIATION SPORTIVE TOULOUSE LARDENNE;;;524108.0;;;lardenneac.site.voila.fr;;PETIT CAPITOLE;TERRAIN DE FOOTBALL A 7 PETIT CAPITOLE;;;31100.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
25/11/2011 12:02:37;FOOTBALL;ASSOCIATION SPORTIVE TOULOUSE MIRAIL FOOTBALL;;;;;;;;ZONE DE LOISIRS DE LA MOUNEDE;TERRAIN DE FOOTBALL A 7 ENGAZONNE LA MOUNEDE;;;31100.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
04/10/2011 17:37:24;FOOTBALL;FRIDAY FOOTBALL CLUB;;;;Appt 10;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.604268, 1.441019
26/08/2011 16:10:07;FOOTBALL;TOULOUSE FONTAINES CLUB;;;505917.0;Stade des Fontaines;;;;ZONE DE LA RAMEE;TERRAIN D'HONNEUR LA RAMEE;;;31170.0;TOURNEFEUILLE;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
26/08/2011 16:10:07;FOOTBALL;TOULOUSE FONTAINES CLUB;;;505917.0;Stade des Fontaines;;;Casselardit;RESERVE FONCIERE CARTOUCHERIE;GYMNASE PIERRE MONTANE;5;Avenue Raymond Badiou;31300.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.573375, 1.488212
13/02/2009 16:59:26;FOOTBALL;TOULOUSE RANGUEIL FOOTBALL CLUB;;;537945.0;;Bât A;www.trfc.free.fr;Sauzelong - Rangueil;ENSEMBLE RANGUEIL;TERRAIN DE FOOTBALL A 11 RANGUEIL;62;Rue de Nîmes;31400.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.576366, 1.463547
18/01/2011 15:48:47;FOOTBALL;TOULOUSE SAINT JO;;;544815.0;;;www.toulousestjofooball.eu;Côte Pavée;TERRAIN DE SPORTS LAFILAIRE;TERRAIN DE SPORT SERGENT VIGNE;22;Chemin de Lafilaire;31500.0;TOULOUSE;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.596067, 1.472423
21/02/2013 11:34:14;FOOTBALL;TROPIK 'CLUB TOULOUSE;;;549759.0;appt 175;;www.tropikfc.fr;Pont des Demoiselles;STADE PHILIPPE STRUXIANO;TERRAIN DE FOOTBALL SYNTHETIQUE STRUXIANO;114;Avenue de Lespinet;31400.0;TOULOUSE;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.580005, 1.46692
29/09/2009 11:03:06;FOOTBALL;UNION SPORTIVE BAGATELLE;;;526462.0;;;;Bagatelle;ENSEMBLE BAGATELLE;STADE VINCENT SERRER;9;Impasse du Bachaga Boualam;31100.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.579345, 1.409171
07/09/2011 12:14:49;football australien;ASSOCIATION TOULOUSAINE DE FOOTBALL AUSTRALIEN;;;;Appt 95B;;;;;;;;;;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.604268, 1.441019
10/03/2011 15:32:09;gymnastique acrobatique;COQUELICOT TOULOUSE GYM;;;20031012.0;;centre sportif Léo Lagrange;www.ctgym.fr;Arnaud Bernard;LYCEE ST SERNIN MAISON MUTILE;GYMNASE SAINT SERNIN;1;Place Saint Sernin;31000.0;TOULOUSE;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.608901, 1.441787
09/02/2011 14:43:59;gymnastique forme et loisirs;AVENIR ETIENNE BILLIERES;W313003512;31AS98;20031017.0;;;;;;;;;;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.565192, 1.296042
10/03/2011 15:32:34;gymnastique forme et loisirs;COQUELICOT TOULOUSE GYM;;;20031012.0;;centre sportif Léo Lagrange;www.ctgym.fr;Arnaud Bernard;LYCEE ST SERNIN MAISON MUTILE;GYMNASE SAINT SERNIN;1;Place Saint Sernin;31000.0;TOULOUSE;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.608901, 1.441787
09/02/2011 14:46:22;gymnastique artistique;AVENIR ETIENNE BILLIERES;W313003512;31AS98;20031017.0;;;shirka2@free.fr;Les Pradettes;ENSEMBLE MARCEL CERDAN;COSEC MARCEL CERDAN;7;Chemin de la Cépière;31100.0;TOULOUSE;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.551059, 1.274041
12/05/2009 16:17:21;MUSCULATION - HALTEROPHILIE;L'UNION DES ARTS;W313000506;31AS646;;;;www.uniondesarts.com;Guilheméry;COMPLEXE PRIVÉ;L'Union des Arts;8;Rue Clément;31500.0;Toulouse;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.589645, 1.465599
16/04/2009 15:37:05;ATHLETISME ADAPTE (EN STADE);STADE TOULOUSAIN section ATHLETISME;327164.0;31AS44;31042.0;;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
17/04/2009 15:57:42;BADMINTON;TOULOUSE INVALIDE CLUB;9624.0;31.0;227.0;;;tlseic.free.fr;Minimes;STADE DES MINIMES;GYMNASE MINIMES ARNAUNE;105;Avenue Frédéric Estèbe;31200.0;TOULOUSE;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;43.580039, 1.516093
20/01/2011 14:07:58;BASKET-BALL;ASMTH HANDICAP DEFI - Association Sportive Muret Toulouse Handisport;W311001621;31AS479;;;;www.handicapdefi.com;Mirail Université;COSEC MIRAIL;COSEC DU MIRAIL;6;Rue Ferdinand Laulanie;31100.0;TOULOUSE;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;43.581181, 1.400522
06/01/2009 10:29:20;gymnastique volontaire;SAKURA CLUB TOULOUSAIN;319499.0;31AS812;14311420.0;;;asct.toulouse.free.fr;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
25/07/2007 14:47:30;JUDO ADAPTE;AIKIDO BUDO CLUB (ABC);335477.0;;;;;aikidobudoclub.free.fr;Bonnefoy;COMPLEXE PRIVÉ;Aïkido Budo Club;6;Rue du Docteur Ferdinand Gendre;31500.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.619949, 1.45852
24/03/2009 17:05:41;JUDO ADAPTE;TCMS section JUDO;;;15313400.0;;;tcmsjudo.over-blog.fr/;;;;;;;;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
19/01/2011 16:23:56;JUDO ADAPTE;TOULOUSE JUDO;W313013163;31AS1316;5015313340.0;2ème étage - bureau 207;;www.toulousejudo.com;Reynerie;ENSEMBLE SPORT EDUCAT REYNERIE;COSEC REYNERIE;7;Cheminement Jean-François Lesueur;31100.0;TOULOUSE;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;
04/10/2007 10:17:06;JUDO ADAPTE;TUC OMNISPORTS- Toulouse Université Club;;;;;Bureau des Sports de l'UTM;www.;Rangueil - CHR - Facultés;Université de Rangueil;Gymnase de l'Université de Rangueil;118;Route de Narbonne;31400.0;Toulouse;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.52488, 1.403752
25/02/2011 16:41:38;SPORTS MONTAGNE ADAPTES (randonnée, handiski, escalade, raquettes..);UNIVERS MONTAGNE ESPRIT NATURE;438 000 259 000 20;31AS1078/31-649;14312422.0;BP 81908;Maison des Sports;www.umen.fr;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;Non;Non;Non;Non;Non;Non;Non;Oui;Non;
04/10/2011 17:13:05;VOILE;ASPTT GRAND TOULOUSE OMNISPORT;;;;;;;;Complexe ASPTT;Base nautique;;;31390.0;Carbonne;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
10/03/2011 16:50:15;JUDO;CETAM - Centre d'Etudes Toulousain des Arts Martiaux;6485.0;3199ET0005;;;;www.cetam.fr;Saint Aubin - Dupuy;GROUPE SCOLAIRE CALVINHAC;GYMNASE CALVINHAC;6;Rue Jacques Labatut;31000.0;TOULOUSE;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.598045, 1.454765
25/07/2007 16:57:51;JUDO;CROIX DE PIERRE JUDO;;;5015312600.0;;;croixdepierrejudo.free.fr;Croix de Pierre;COLLEGE MAURICE BECANNE;GYMNASE MAURICE BECANNE;14;Rue Pierre Bourthoumieux;31300.0;TOULOUSE;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;43.577256, 1.262603
18/01/2011 16:57:29;JUDO;JUDO TOULOUSE CROIX DAURADE;3/06729;31AS698;5015311470.0;;;www.jtcd.free.fr;Croix Daurade;;SALLE DE DANSE COMPLEXE SPORTIF FERNAND SASTRE;3;Rue Hubert Monloup;31200.0;TOULOUSE;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.637216, 1.453581
18/01/2011 16:57:29;JUDO;JUDO TOULOUSE CROIX DAURADE;3/06729;31AS698;5015311470.0;;;www.jtcd.free.fr;Croix Daurade;GROUPE SCOLAIRE LAPUJADE;GYMNASE LAPUJADE;26;Route d' Albi;31200.0;TOULOUSE;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.635127, 1.463877
02/08/2007 15:18:39;JUDO;TCMS OMNISPORT - TOULOUSE CHEMINOT MARENGO SPORTS;;;;;;;Juncasse - Argoulets;Complexe du TCMS;Gymnase Surcouf;2;Avenue de l' Hers;31500.0;Toulouse;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.613425, 1.478851
15/10/2012 16:56:05;karaté;BALMA SAINT EXUPERY 31;;;310029.0;;;www.bse31.com;Pont des Demoiselles;COMPLEXE PRIVÉ;Balma Saint-Exupéry 31;52;Avenue Antoine de Saint Exupéry;31400.0;Toulouse;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.583177, 1.471575
21/01/2011 10:33:03;karaté;CLUB SHOTOKAN TOULOUSAIN;w313004030;3199.0;310624.0;;;clubshotokan.perso.neuf.fr;Sauzelong - Rangueil;ENSEMBLE RANGUEIL;COSEC RANGUEIL;27;Chemin du Canal;31400.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.629916, 1.453896
25/02/2011 14:28:18;karaté;FRANCE SHOTOKAN TOULOUSE;12248.0;0319ET01105;310658.0;;;fsktoulouse.ifrance.com;Mirail Université;COSEC MIRAIL;COSEC DU MIRAIL;6;Rue Ferdinand Laulanie;31100.0;TOULOUSE;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;
24/03/2009 17:06:36;karaté;TCMS section KARATE;6106.0;16076.0;310025.0;;;tcmskarate.free.fr;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
13/05/2011 16:29:05;karaté;TUC Section KARATE;W313009718;;310090.0;;;www.tuc.asso.fr;;UFR Staps de Toulouse;UFR Staps de Toulouse;;;;Toulouse-Armées;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.667997, 1.429367
24/03/2009 16:20:29;kung-Fu;ASSOCIATION YIM WING CHUN;W313000994;03106ET0046;603.0;;;yimwingchun.free.fr;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
15/10/2012 16:56:35;kung-Fu;BALMA SAINT EXUPERY 31;;;;;;www.bse31.com;Juncasse - Argoulets;LES ARGOULETS;MAISON DU JUDO ARGOULETS;54;Rue Dinetard;31500.0;TOULOUSE;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;43.577522, 1.455107
12/05/2009 16:25:47;kung-Fu;L'UNION DES ARTS;W313000506;31AS646;;;;www.uniondesarts.com;Guilheméry;COMPLEXE PRIVÉ;L'Union des Arts;8;Rue Clément;31500.0;Toulouse;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.605744, 1.465466
18/04/2012 17:11:06;kung-Fu;MIDI PYRENEES SHAOLIN SI WASHU QUAN - ECOLE SHI MIAOFENG;;;;;;shaolinmidipyrenees.org;Matabiau;COMPLEXE PRIVÉ;Judo Olympia Gym;9;Rue Caffarelli;31000.0;Toulouse;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.578182, 1.417703
30/05/2011 14:10:23;NIHON TAI-JITSU;ASCGMP - ASSOCIATION SPORTIVE & CULTURELLE DE LA GENDARMERIE MIDI PYRENEES - SECTION COURREGE;6390.0;31AS825;;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;
14/04/2009 16:15:40;NIHON TAI-JITSU;SHAOLIN;314014.0;31AS799;310042.0;;;shaolin-toulouse.com;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.609568, 1.497847
04/10/2011 17:12:52;ALPINISME;ASPTT GRAND TOULOUSE OMNISPORT;;;;;;perso.wanadoo.fr/d.hoizey;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.604268, 1.441019
15/02/2011 17:03:30;ALPINISME;ASSOCIATION PYRENEES CLUB;W313004198;31AS105;;;;www.pyrenees-club.asso.fr;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
