DISCIPLINE;ASSO_NOM;DECLARATION EN PREFECTURE;AGREMENT JEUNESSE & SPORTS;AFFILIATION FEDERALE;PERS_INTERNET;EXTENSION;QUARTIERS;COMPLEXE;UNITE FONCTIONNELLE;NUMERO;RUE_LIBELLE;UF_CP;UF_Commune;COMPLEMENT;0-3ans;3-6ans;6-12ans;12-15ans;juniors16-20ans;adultes;séniors;handicapés;corpo;geolocalisation
BILLARD;ACADEMIE TOULOUSAINE DE BILLARD;W313003679;;20004.0;www.billard-toulouse-atb.fr;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;43.604268, 1.441019
BOWLING;ASSOCIATION SPORTIVE AIR FRANCE;W311001621;31AS479;31063.0;www.asaf.sport.asso.fr;;Montaudran Lespinet;COMPLEXE PRIVÉ;Bowling de Montaudran;;Impasse Louise Labe;;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.56808, 1.496579
BOWLING;TCMS OMNISPORT - TOULOUSE CHEMINOT MARENGO SPORTS;;;;;;Minimes;COMPLEXE PRIVÉ;Bowling des Minimes;;Avenue des Minimes;31200.0;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;43.58071, 1.4195
BOWLING;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;776945800.0;bowling.toac.free.fr;;Gramont;COMPLEXE PRIVÉ;Bowling de Gramont;;Chemin de Gabardie;31500.0;Toulouse;Bat B;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.621471, 1.340877
CANOE-KAYAK;CANOE KAYAK TOULOUSAIN;;;3102.0;ckt.free.fr;Chemin de la Loge;;Rivières et fleuves;Ariège et Garonne;;;;En Ariège et Garonne;;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
CANOE-KAYAK;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;;;;;;;;;;;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.604268, 1.441019
COURSE D'ORIENTATION;TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT;;;;toaco.free.fr;;;COMPLEXE PRIVÉ;Forêts de Bouconne et de Buzet;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
CYCLISME SUR ROUTE;RACING CLUB OLYMPIQUE;2578.0;;;;;;;;;;;;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
CYCLOTOURISME;TOAC section CYCLISME;;;2231105.0;toac.cyclisme.free.fr/;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.693459, 1.268659
VTT;CLUB ALPIN FRANCAIS DE TOULOUSE;;;3100.0;caftoulouse.free.fr;;;Extérieurs de Toulouse;Région Midi-Pyrénées;;;;En région Midi-Pyrénées;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.604268, 1.441019
DAMES;CLUB DAMIER TOULOUSAIN;303045.0;3104JEP0047;;damier31.free.fr/;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.813047, 1.570805
échecs;CERCLE AIRBUS TOULOUSE ECHECS;W313008719;;;cateairbus.free.fr;;;;;;;;;BP83172;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;
échecs;CLUB D'ECHECS INTERNATIONAL DE TOULOUSE;3/21892;31AS1228;;ceit.free.fr;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
gymnastique volontaire;ASSOCIATION GYMNASTIQUE DES MAZADES;4957.0;;31198.0;;;;;;;;;;Centre cuturel des Mazades;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
gymnastique volontaire;GYM SAINT MARTIN;37500.0;;31309.0;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
gymnastique volontaire;JOLIMONT - gymnastique volontaire;W313007407;;31200.0;;Bât F1 Appt 18;Marengo Jolimont;ENSEMBLE DES ACACIAS;GYMNASE DES ACACIAS;20;Rue de l' Obélisque;31500.0;TOULOUSE;chez Mme Maryse MAGNE;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.601438, 1.453807
gymnastique volontaire;TOULOUSE GYMNASTIQUE VOLONTAIRE;3/32163;31AS1302;;;;Arnaud Bernard;LYCEE ST SERNIN MAISON MUTILE;GYMNASE SAINT SERNIN;1;Place Saint Sernin;31000.0;TOULOUSE;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.609286, 1.458299
équitation;PONEY CLUB DE LA SEILLONNE;;;;;;;COMPLEXE PRIVÉ;Poney Club de la Seillonne;;;31130.0;Pin Balma;;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;43.609568, 1.497847
CHASSE SOUS-MARINE;GASM - Groupe d'Activités Sous Marines;3/08064;31AS1011;8310049.0;gasm-toulouse.chez-alice.fr;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.561769, 1.31404
nage avec palmes;TOULOUSE OLYMPIQUE PALME;;;;;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;43.852747, 1.235629
plongée;AMPHIPRION PLONGEE;W313005015;03109ET0018;8310270.0;;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.593607, 1.462219
plongée;ASCUPS;W313013309;;8310306.0;;;;;;;;;;;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;
plongée;ASPTT section PLONGEE;;;;www.toulouse.asptt.com;;;;;;;;;;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.604268, 1.441019
plongée;PALMES AQUADEMIQUES;w313004030;3199.0;179.0;palmes.aquademiques.free.fr;;Saint Aubin - Dupuy;ENSEMBLE LEO LAGRANGE;PISCINE LEO LAGRANGE;4;Place Pierre-Paul Riquet;31000.0;TOULOUSE;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.593607, 1.462219
plongée;TCMS section PLONGEE;5105.0;16076.0;8310106.0;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;43.698157, 1.225098
frisbee;TUC Section ULTIMATE;;;;www.toulouseultimate.free.fr;Stade Daniel Faucher;Ramier;Stade Universitaire Daniel Faucher;Stade Universitaire Daniel Faucher;;Allée du Professeur Camille Soula;31400.0;Toulouse;;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;43.580038, 1.435198
FOOTBALL;A S FARMENTIERES;;;;club.sportsrégions.fr/asfa-toulouse;;;;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.604268, 1.441019
FOOTBALL;ASSOCIATION SPORTIVE DES IZARDS;;;;;;Les Izards;TERRAIN DE SPORT DES VIOLETTES;TERRAIN DE SPORT DES VIOLETTES;6;Rue des Violettes;31200.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.641739, 1.44387
FOOTBALL;ASSOCIATION SPORTIVE TOULOUSE LARDENNE;;;524108.0;lardenneac.site.voila.fr;;;PETIT CAPITOLE;TERRAIN DE FOOTBALL A 7 PETIT CAPITOLE;;;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
FOOTBALL;ASSOCIATION SPORTIVE TOULOUSE MIRAIL FOOTBALL;;;;;;;ZONE DE LOISIRS DE LA MOUNEDE;TERRAIN DE FOOTBALL A 7 ENGAZONNE LA MOUNEDE;;;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
FOOTBALL;FRIDAY FOOTBALL CLUB;;;;;;;;;;;;;Appt 10;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.604268, 1.441019
FOOTBALL;TOULOUSE FONTAINES CLUB;;;505917.0;;;;ZONE DE LA RAMEE;TERRAIN D'HONNEUR LA RAMEE;;;31170.0;TOURNEFEUILLE;Stade des Fontaines;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
FOOTBALL;TOULOUSE FONTAINES CLUB;;;505917.0;;;Casselardit;RESERVE FONCIERE CARTOUCHERIE;GYMNASE PIERRE MONTANE;5;Avenue Raymond Badiou;31300.0;TOULOUSE;Stade des Fontaines;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.573375, 1.488212
FOOTBALL;TOULOUSE RANGUEIL FOOTBALL CLUB;;;537945.0;www.trfc.free.fr;Bât A;Sauzelong - Rangueil;ENSEMBLE RANGUEIL;TERRAIN DE FOOTBALL A 11 RANGUEIL;62;Rue de Nîmes;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.576366, 1.463547
FOOTBALL;TOULOUSE SAINT JO;;;544815.0;www.toulousestjofooball.eu;;Côte Pavée;TERRAIN DE SPORTS LAFILAIRE;TERRAIN DE SPORT SERGENT VIGNE;22;Chemin de Lafilaire;31500.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.596067, 1.472423
FOOTBALL;TROPIK 'CLUB TOULOUSE;;;549759.0;www.tropikfc.fr;;Pont des Demoiselles;STADE PHILIPPE STRUXIANO;TERRAIN DE FOOTBALL SYNTHETIQUE STRUXIANO;114;Avenue de Lespinet;31400.0;TOULOUSE;appt 175;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.580005, 1.46692
FOOTBALL;UNION SPORTIVE BAGATELLE;;;526462.0;;;Bagatelle;ENSEMBLE BAGATELLE;STADE VINCENT SERRER;9;Impasse du Bachaga Boualam;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.579345, 1.409171
football australien;ASSOCIATION TOULOUSAINE DE FOOTBALL AUSTRALIEN;;;;;;;;;;;;;Appt 95B;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.604268, 1.441019
gymnastique acrobatique;COQUELICOT TOULOUSE GYM;;;20031012.0;www.ctgym.fr;centre sportif Léo Lagrange;Arnaud Bernard;LYCEE ST SERNIN MAISON MUTILE;GYMNASE SAINT SERNIN;1;Place Saint Sernin;31000.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.608901, 1.441787
gymnastique forme et loisirs;AVENIR ETIENNE BILLIERES;W313003512;31AS98;20031017.0;;;;;;;;;;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.565192, 1.296042
gymnastique forme et loisirs;COQUELICOT TOULOUSE GYM;;;20031012.0;www.ctgym.fr;centre sportif Léo Lagrange;Arnaud Bernard;LYCEE ST SERNIN MAISON MUTILE;GYMNASE SAINT SERNIN;1;Place Saint Sernin;31000.0;TOULOUSE;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.608901, 1.441787
gymnastique artistique;AVENIR ETIENNE BILLIERES;W313003512;31AS98;20031017.0;shirka2@free.fr;;Les Pradettes;ENSEMBLE MARCEL CERDAN;COSEC MARCEL CERDAN;7;Chemin de la Cépière;31100.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.551059, 1.274041
MUSCULATION - HALTEROPHILIE;L'UNION DES ARTS;W313000506;31AS646;;www.uniondesarts.com;;Guilheméry;COMPLEXE PRIVÉ;L'Union des Arts;8;Rue Clément;31500.0;Toulouse;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.589645, 1.465599
ATHLETISME ADAPTE (EN STADE);STADE TOULOUSAIN section ATHLETISME;327164.0;31AS44;31042.0;;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
BADMINTON;TOULOUSE INVALIDE CLUB;9624.0;31.0;227.0;tlseic.free.fr;;Minimes;STADE DES MINIMES;GYMNASE MINIMES ARNAUNE;105;Avenue Frédéric Estèbe;31200.0;TOULOUSE;;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;43.580039, 1.516093
BASKET-BALL;ASMTH HANDICAP DEFI - Association Sportive Muret Toulouse Handisport;W311001621;31AS479;;www.handicapdefi.com;;Mirail Université;COSEC MIRAIL;COSEC DU MIRAIL;6;Rue Ferdinand Laulanie;31100.0;TOULOUSE;;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;43.581181, 1.400522
gymnastique volontaire;SAKURA CLUB TOULOUSAIN;319499.0;31AS812;14311420.0;asct.toulouse.free.fr;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Non;43.604268, 1.441019
JUDO ADAPTE;AIKIDO BUDO CLUB (ABC);335477.0;;;aikidobudoclub.free.fr;;Bonnefoy;COMPLEXE PRIVÉ;Aïkido Budo Club;6;Rue du Docteur Ferdinand Gendre;31500.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.619949, 1.45852
JUDO ADAPTE;TCMS section JUDO;;;15313400.0;tcmsjudo.over-blog.fr/;;;;;;;;;;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
JUDO ADAPTE;TOULOUSE JUDO;W313013163;31AS1316;5015313340.0;www.toulousejudo.com;;Reynerie;ENSEMBLE SPORT EDUCAT REYNERIE;COSEC REYNERIE;7;Cheminement Jean-François Lesueur;31100.0;TOULOUSE;2ème étage - bureau 207;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;
JUDO ADAPTE;TUC OMNISPORTS- Toulouse Université Club;;;;www.;Bureau des Sports de l'UTM;Rangueil - CHR - Facultés;Université de Rangueil;Gymnase de l'Université de Rangueil;118;Route de Narbonne;31400.0;Toulouse;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.52488, 1.403752
SPORTS MONTAGNE ADAPTES (randonnée, handiski, escalade, raquettes..);UNIVERS MONTAGNE ESPRIT NATURE;438 000 259 000 20;31AS1078/31-649;14312422.0;www.umen.fr;Maison des Sports;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;BP 81908;Non;Non;Non;Non;Non;Non;Non;Oui;Non;
VOILE;ASPTT GRAND TOULOUSE OMNISPORT;;;;;;;Complexe ASPTT;Base nautique;;;31390.0;Carbonne;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
JUDO;CETAM - Centre d'Etudes Toulousain des Arts Martiaux;6485.0;3199ET0005;;www.cetam.fr;;Saint Aubin - Dupuy;GROUPE SCOLAIRE CALVINHAC;GYMNASE CALVINHAC;6;Rue Jacques Labatut;31000.0;TOULOUSE;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.598045, 1.454765
JUDO;CROIX DE PIERRE JUDO;;;5015312600.0;croixdepierrejudo.free.fr;;Croix de Pierre;COLLEGE MAURICE BECANNE;GYMNASE MAURICE BECANNE;14;Rue Pierre Bourthoumieux;31300.0;TOULOUSE;;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;43.577256, 1.262603
JUDO;JUDO TOULOUSE CROIX DAURADE;3/06729;31AS698;5015311470.0;www.jtcd.free.fr;;Croix Daurade;;SALLE DE DANSE COMPLEXE SPORTIF FERNAND SASTRE;3;Rue Hubert Monloup;31200.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.637216, 1.453581
JUDO;JUDO TOULOUSE CROIX DAURADE;3/06729;31AS698;5015311470.0;www.jtcd.free.fr;;Croix Daurade;GROUPE SCOLAIRE LAPUJADE;GYMNASE LAPUJADE;26;Route d' Albi;31200.0;TOULOUSE;;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;43.635127, 1.463877
JUDO;TCMS OMNISPORT - TOULOUSE CHEMINOT MARENGO SPORTS;;;;;;Juncasse - Argoulets;Complexe du TCMS;Gymnase Surcouf;2;Avenue de l' Hers;31500.0;Toulouse;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.613425, 1.478851
karaté;BALMA SAINT EXUPERY 31;;;310029.0;www.bse31.com;;Pont des Demoiselles;COMPLEXE PRIVÉ;Balma Saint-Exupéry 31;52;Avenue Antoine de Saint Exupéry;31400.0;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.583177, 1.471575
karaté;CLUB SHOTOKAN TOULOUSAIN;w313004030;3199.0;310624.0;clubshotokan.perso.neuf.fr;;Sauzelong - Rangueil;ENSEMBLE RANGUEIL;COSEC RANGUEIL;27;Chemin du Canal;31400.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.629916, 1.453896
karaté;FRANCE SHOTOKAN TOULOUSE;12248.0;0319ET01105;310658.0;fsktoulouse.ifrance.com;;Mirail Université;COSEC MIRAIL;COSEC DU MIRAIL;6;Rue Ferdinand Laulanie;31100.0;TOULOUSE;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;
karaté;TCMS section KARATE;6106.0;16076.0;310025.0;tcmskarate.free.fr;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
karaté;TUC Section KARATE;W313009718;;310090.0;www.tuc.asso.fr;;;UFR Staps de Toulouse;UFR Staps de Toulouse;;;;Toulouse-Armées;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.667997, 1.429367
kung-Fu;ASSOCIATION YIM WING CHUN;W313000994;03106ET0046;603.0;yimwingchun.free.fr;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
kung-Fu;BALMA SAINT EXUPERY 31;;;;www.bse31.com;;Juncasse - Argoulets;LES ARGOULETS;MAISON DU JUDO ARGOULETS;54;Rue Dinetard;31500.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;43.577522, 1.455107
kung-Fu;L'UNION DES ARTS;W313000506;31AS646;;www.uniondesarts.com;;Guilheméry;COMPLEXE PRIVÉ;L'Union des Arts;8;Rue Clément;31500.0;Toulouse;;Non;Non;Non;Oui;Oui;Oui;Oui;Non;Non;43.605744, 1.465466
kung-Fu;MIDI PYRENEES SHAOLIN SI WASHU QUAN - ECOLE SHI MIAOFENG;;;;shaolinmidipyrenees.org;;Matabiau;COMPLEXE PRIVÉ;Judo Olympia Gym;9;Rue Caffarelli;31000.0;Toulouse;;Non;Non;Non;Non;Non;Non;Non;Non;Non;43.578182, 1.417703
NIHON TAI-JITSU;ASCGMP - ASSOCIATION SPORTIVE & CULTURELLE DE LA GENDARMERIE MIDI PYRENEES - SECTION COURREGE;6390.0;31AS825;;;;;;;;;;;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;
NIHON TAI-JITSU;SHAOLIN;314014.0;31AS799;310042.0;shaolin-toulouse.com;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.609568, 1.497847
ALPINISME;ASPTT GRAND TOULOUSE OMNISPORT;;;;perso.wanadoo.fr/d.hoizey;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;43.604268, 1.441019
ALPINISME;ASSOCIATION PYRENEES CLUB;W313004198;31AS105;;www.pyrenees-club.asso.fr;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
CANYONISME;JACUZZI;;;;www.canyonjacuzzi.com;RUE;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Non;Non;Non;43.604268, 1.441019
ESCALADE;ESCAPADE CLUB;13823.0;31AS349;31018.0;escapadeclub.net;ZI de Montaudran;Mirail Université;COSEC MIRAIL;COSEC DU MIRAIL;6;Rue Ferdinand Laulanie;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.616859, 1.421328
ESCALADE;LOISIRS ET MONTAGNE;;;;;;;;;;;;;;Oui;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
randonnée;ASSOCIATION PYRENEES CLUB;W313004198;31AS105;31014.0;www.pyrenees-club.asso.fr;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
randonnée;CLUB ALPIN FRANCAIS DE TOULOUSE;;;3100.0;caftoulouse.free.fr;;;Extérieurs de Toulouse;Les Pyrénées;;;;Dans les Pyrénées;;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;43.604268, 1.441019
motocyclisme;TOULOUSE TRIAL CLUB;;;;www.toulouse.trial.club.free.fr;;Zones d'activités sud;PISTE MOTO ROUTIERE CANDIE;PISTE MOTOCYCLISTE DE CANDIE;;Chemin de la Saudrune;31100.0;TOULOUSE;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.635199, 1.454024
BOXE THAILANDAISE / MUAY THAI;BALMA SAINT EXUPERY 31;;;;www.bse31.com;;;;;;;;;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.604268, 1.441019
BOXE THAILANDAISE / MUAY THAI;ROYAL BOXING;4.18698570001e+12;31AS1446;100186.0;www.royalnaresuanboxing.com;;Patte d'Oie;COMPLEXE PRIVÉ;Royal Naresuan Boxing;20;Rue Adolphe Coll;31300.0;Toulouse;;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;43.598025, 1.424785
éveil aquatique;BEBES DAUPHINS TOULOUSAINS;W313003093;31AS546;135072.0;www.bbdt31.org;;Bellefontaine;ALBAN MINVILLE;PISCINE ALBAN MINVILLE;63;Allée de Bellefontaine;31100.0;TOULOUSE;Complexe Sportif Léo Lagrange;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;43.608085, 1.426837
